document_id,document_name,document_source_url,document_content_type,document_md5_sum,translated,has_valid_text,author,geography_iso,types,date,author_is_party,collection_id,family_id,family_name,family_slug,role,variant,status,num_text_blocks,num_pages
UNFCCC.party.917.0,Netherlands. 2021 National Inventory Report (NIR),https://unfccc.int/sites/default/files/resource/nld-2021-nir-15apr21.zip,,,True,False,['Netherlands'],NLD,['National Inventory Report'],2021-04-15,True,,UNFCCC.family.917.0,Netherlands. 2021 National Inventory Report (NIR),netherlands-2021-national-inventory-report-nir_5373,,,,0,0
UNFCCC.party.874.0,National Decarbonization Plan - Government of Costa Rica 2018-2050,https://unfccc.int/sites/default/files/resource/Plan_Nacional_de_Descarbonizacion-CostaRica.pdf,application/pdf,2608648d2a3fc274620c38c4809d93eb,True,True,['Costa Rica'],CRI,['Long-Term Low-Emission Development Strategy'],2019-12-12,True,,UNFCCC.family.874.0,National Decarbonization Plan - Government of Costa Rica 2018-2050,national-decarbonization-plan-government-of-costa-rica-2018-2050_abef,,,,956,113
UNFCCC.party.974.0,Norwegian Climate Finance 2012,http://unfccc.int/files/cooperation_support/financial_mechanism/fast_start_finance/application/pdf/norwegian_fast_start_finance_report_2012final08august13.pdf,application/pdf,8dc20834cc677c3bcb6622868f2ae7c0,False,True,['Norway'],NOR,['Fast-Start Finance Report'],2012-01-01,True,,UNFCCC.family.974.0,Norwegian Climate Finance 2012,norwegian-climate-finance-2012_cd90,,,,78,16
UNFCCC.party.130.0,Belize. National Communication (NC). NC 4.,https://unfccc.int/sites/default/files/resource/Belize%20National%20Communication.pdf,application/pdf,c54cb3fa2a237086cac5886e01a6400a,False,True,['Belize'],BLZ,['National Communication'],2022-12-07,True,,UNFCCC.family.130.0,Belize. National Communication (NC). NC 4.,belize-national-communication-nc-nc-4_e676,,,,937,137
UNFCCC.party.661.0,Italy. 2021 National Inventory Report (NIR),https://unfccc.int/sites/default/files/resource/ita-2021-nir-12apr21.zip,,,True,False,['Italy'],ITA,['National Inventory Report'],2021-04-12,True,,UNFCCC.family.661.0,Italy. 2021 National Inventory Report (NIR),italy-2021-national-inventory-report-nir_6026,,,,0,0
UNFCCC.non-party.1426.0,The First Global Stocktake International Energy Agency (IEA) submission,https://unfccc.int/sites/default/files/resource/202203091836---IEA_The%20First%20Global%20Stocktake.pdf,application/pdf,8876d0144f075b8b850521f2740678ca,False,True,['International Energy Agency (IEA)'],nan,['Submission to the Global Stocktake'],2022-04-13,False,,UNFCCC.family.1426.0,The First Global Stocktake International Energy Agency (IEA) submission,the-first-global-stocktake-international-energy-agency-iea-submission_d649,,,,123,16
UNFCCC.non-party.1377.0,Technical analysis of the second biennial update report of Paraguay submitted on 27 December 2018. Summary report by the team of technical experts,https://unfccc.int/sites/default/files/resource/tasr2019_PRY.pdf,application/pdf,b18ed1d95148b24a9ce0bfec885988de,False,True,['UNFCCC Secretariat'],nan,['Technical Analysis Summary Report'],2019-10-23,False,,UNFCCC.family.1377.0,Technical analysis of the second biennial update report of Paraguay submitted on 27 December 2018. Summary report by the team of technical experts,technical-analysis-of-the-second-biennial-update-report-of-paraguay-submitted-on-27-december-2018-summary-report-by-the-team-of-technical-experts_426e,,,,163,21
UNFCCC.non-party.1691.0,The potential of expert judgment assessments on adaptation to feed GST series - IDDRI,https://unfccc.int/sites/default/files/resource/202303062039---Submission%20TD3%20Adaptation%20tracking%20March%202023_Final.pdf,application/pdf,0ba7fd1e7a695dd07e36a597db863608,False,True,['Institute for Sustainable Development and International Relations (IDDRI)'],nan,['Submission to the Global Stocktake'],2023-03-07,False,,UNFCCC.family.1691.0,The potential of expert judgment assessments on adaptation to feed GST series - IDDRI,the-potential-of-expert-judgment-assessments-on-adaptation-to-feed-gst-series-iddri_fa1b,,,,35,5
UNFCCC.party.761.0,Long-term strategy for Carbon Neutrality (LTS4CN),https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf,application/pdf,1742ba16262c346a67e438332fa6bfe9,False,True,['Cambodia'],KHM,['Long-Term Low-Emission Development Strategy'],2021-12-30,True,,UNFCCC.family.761.0,Long-term strategy for Carbon Neutrality (LTS4CN),long-term-strategy-for-carbon-neutrality-lts4cn_c547,,,,292,52
UNFCCC.non-party.279.0,Annex X: Expert Reviewers of the IPCC Sixth Assessment Report,https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_AnnexX.pdf,application/pdf,e5e2d375ceb9c837ac864f8ff8a4115e,False,True,['IPCC'],nan,['IPCC Report'],2021-08-01,False,,UNFCCC.family.270.0,Climate Change 2021: The Physical Science Basis,climate-change-2021-the-physical-science-basis_0ba0,,,,1981,52
UNFCCC.party.1517.0,United Arab Emirates Second NDC,https://unfccc.int/sites/default/files/NDC/2022-06/UAE%20Second%20NDC%20-%20UNFCCC%20Submission%20-%20English%20-%20FINAL.pdf,application/pdf,26acac97af570ef35d3413169dcef091,False,True,['United Arab Emirates'],ARE,['Nationally Determined Contribution'],2020-12-29,True,,UNFCCC.family.1517.0,United Arab Emirates Second NDC,united-arab-emirates-second-ndc_6a8b,,,,133,16
UNFCCC.party.1246.0,Submission by the Republic of Senegal on behalf of the Least Developed Countries (LDCs) Group on inputs to the First Global Stocktake,https://unfccc.int/sites/default/files/resource/202205061747---LDC%20Submission_GST_20220506.pdf,application/pdf,c2c56535b8ff62366f70d17dbdb6b49d,False,True,"['Least Developed Countries (LDCs)', 'Senegal']",XAB,['Submission to the Global Stocktake'],2022-05-09,True,,UNFCCC.family.1246.0,Submission by the Republic of Senegal on behalf of the Least Developed Countries (LDCs) Group on inputs to the First Global Stocktake,submission-by-the-republic-of-senegal-on-behalf-of-the-least-developed-countries-ldcs-group-on-inputs-to-the-first-global-stocktake_856a,,,,50,7
